🔒 Row ID,Permit #,Permit Type,Permit Description,Project #,Permit Target Date,Permit Submittal Date,Permit Agency Comments 1 Date,Permit Resubmittal 1 Date,Permit Agency Comments 2 Date,Permit Resubmittal 2 Date,Permit Approval Date,Permit Expiration Date,Notes,TargetAlerts/Removal Flag,SubmittalAlerts/Removal Flag,SubmittalAlertsOLD/Submittal Alert Sent Date,AgencyCommentsAlerts/Comments 1 Removal Flag,AgencyCommentsAlerts/Comments 2 Removal Flag,AgencyCommentsAlertsOLD/Agency Comments 1a Sent Date,AgencyCommentsAlertsOLD/Agency Comments 1b Sent Date,AgencyCommentsAlertsOLD/Agency Comments 2a Sent Date,AgencyCommentsAlertsOLD/Agency Comments 2b Sent Date,ExpirationAlerts/Removal Flag,ExpirationAlertsOLD/Expiration Alert Sent Date,RecMetadataPermit/Date Created,RecMetadataPermit/Created By Email,RecMetadataPermit/Date Last Updated,RecMetadataPermit/Last Updated By Email
H5OXphGMRTWxI.Oxq3i6dg,DOS2019-00047,Site Development Permit,,20170404,,2019-04-11T00:00:00.000Z,2020-05-04T00:00:00.000Z,2020-06-02T00:00:00.000Z,,,2020-06-30T00:00:00.000Z,,,,,2019-05-26T00:00:00.000Z,,,2020-05-25T00:00:00.000Z,2020-06-18T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Jv0-YbdZSP2y8PMp5bp-Gw,LCU2019-00102,Utility - Closeout,Ph 2,20170404,,2024-11-12T00:00:00.000Z,,,,,2024-03-15T00:00:00.000Z,,,,,2024-12-27T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
lkU38RGaTBa2KBxszQzhgQ,LCU2019-00106,Utility - Closeout,Ph 3,20170404,,2024-11-21T00:00:00.000Z,,,,,2024-03-15T00:00:00.000Z,,,,,2025-01-05T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
QQ6kXfaeTV-omN.W9JI4tg,LCU2019-00102,Utility - New Project,,20170404,,2020-02-28T00:00:00.000Z,,,,,2022-03-05T00:00:00.000Z,,,,,2020-04-13T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
XwJ1qIgJTqyPB7Um0KWd2Q,MBD2021-00001,Comp Plan Amendment,,20170505,,2021-02-10T00:00:00.000Z,,,,,2021-03-29T00:00:00.000Z,,,,,2021-03-27T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
uYUybsIkTA2aqkRgVvGCQA,ADD2019-00154,Administrative Zoning Amendment,,20170508,,,2019-10-18T00:00:00.000Z,2020-03-19T00:00:00.000Z,,,2020-06-25T00:00:00.000Z,,,,,,,,2019-11-08T00:00:00.000Z,2019-12-02T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
RQcuVG2QQCS-QLeFx.dYzw,PLT2018-00008,Platting Permitting,,20170508,,,,,,,2018-12-04T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Kunpx3LaT9OtJAq-p-eWxg,DOS2017-00079-1D,Project Certification - Site,,20170508,,2023-10-25T00:00:00.000Z,,,,,2023-10-27T00:00:00.000Z,,,,,2023-12-09T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
oB72dRoZTYOA0YA56kgv.Q,DOS2017-00079-1B,Project Certification - Site,1B,20170508,,2022-06-23T00:00:00.000Z,,,,,2022-06-24T16:00:00.000Z,,,,,2022-08-07T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
JdMpBRHaTdCK-WEpyhXDdg,DOS2017-00079-1C,Project Certification - Site,1C,20170508,,2022-05-31T00:00:00.000Z,,,,,2022-06-09T00:00:00.000Z,,,,,2022-07-15T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
7QLpSpJIQhmz5qkSi3SL2A,DCI2017-00018,Rezoning Planned Development,,20170508,,,,,,,2018-01-11T17:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
0b5q3DViR.eFQmw8seM6NA,36-102317-P,SFWMD Certification,,20170508,,,,,,,2021-09-14T16:00:00.000Z,,,,,2022-04-18T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
pfp1DS4FSc-tYYuwvxHrsw,191001-1925/36-05268-P,SFWMD Major Modification,,20170508,,2019-10-01T00:00:00.000Z,2019-10-16T00:00:00.000Z,,,,2020-02-03T00:00:00.000Z,,,,,2019-11-15T00:00:00.000Z,,,2019-11-06T00:00:00.000Z,2019-11-30T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
J.t3vBC4TPCN5tj3XwDGng,231214-41665/36-111149-P,SFWMD Water Management Permitting,,20170508,,2023-12-14T00:00:00.000Z,2024-07-01T00:00:00.000Z,2024-07-01T00:00:00.000Z,,,2024-07-26T00:00:00.000Z,,,,,2024-01-28T00:00:00.000Z,,,2024-07-22T00:00:00.000Z,2024-08-15T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
BWXFNDHDTsmwUCDvNTqaIg,170818-2/36-05268-P,SFWMD Water Use Permitting,,20170508,,,,,,,2018-02-05T17:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
tGWLwBNlR.mElPjwZ.wPkQ,DOS2017-00079-A02,Site Development Amendment,,20170508,,2019-09-18T00:00:00.000Z,,,,,2019-11-01T00:00:00.000Z,,,,,2019-11-02T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
RFle1Y0sT5mBBEH7oaH89Q,DOS2017-00079-A01,Site Development Amendment,,20170508,,2018-10-17T00:00:00.000Z,2018-12-17T00:00:00.000Z,2018-12-19T00:00:00.000Z,,,2019-01-09T00:00:00.000Z,,,,,2018-12-01T00:00:00.000Z,,,2019-01-07T00:00:00.000Z,2019-01-31T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
AuNLorpmQU-OT2wsxmE-yw,DOS2017-00079,Site Development Permit,,20170508,,2017-08-14T00:00:00.000Z,2018-01-19T00:00:00.000Z,2018-03-02T00:00:00.000Z,,,2018-12-05T00:00:00.000Z,,,,,2017-09-28T00:00:00.000Z,,,2018-02-09T00:00:00.000Z,2018-03-05T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
MbbnZwYbRk-CGkVuXMiUEg,LCU2018-00023,Utility - Closeout,,20170508,,2021-05-06T00:00:00.000Z,,,,,2019-07-02T16:00:00.000Z,,,,,2021-06-20T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
xcsSlFO7QX-2CpUeLwvP1Q,LCU2018-00023,Utility - New Project,,20170508,,2019-05-23T00:00:00.000Z,,,,,2018-08-06T00:00:00.000Z,,,,,2019-07-07T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
CRvFe9diRsqs6Iu9qISs7A,2021-D-192-00001,FDOT Certification,,20180505,,2025-04-29T00:00:00.000Z,,,,,,,,,Alert Removed,2025-06-13T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
43IoenmSS0m.mZLC4JW8eA,ADD2021-00006,Administrative Zoning Amendment,,20180505,,2021-01-07T00:00:00.000Z,2020-02-25T00:00:00.000Z,2021-04-27T00:00:00.000Z,,,2021-06-07T00:00:00.000Z,,,,,2021-02-21T00:00:00.000Z,,,2020-03-17T00:00:00.000Z,2020-04-10T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
ipm7ZgPeTQSDzKCpJx2ewA,,DEP 404,,20180505,,,2022-07-28T00:00:00.000Z,2022-12-20T00:00:00.000Z,,,2023-03-06T00:00:00.000Z,,,,,,,,2022-08-18T00:00:00.000Z,2022-09-11T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
C3XPbGQYRJSgosBVTXVLnw,2021-D-192-00001,FDOT Drainage Permit,,20180505,,2021-01-15T00:00:00.000Z,2023-03-01T00:00:00.000Z,2023-06-08T00:00:00.000Z,,,2023-06-26T00:00:00.000Z,,,,,2021-03-01T00:00:00.000Z,,,2023-03-22T00:00:00.000Z,2023-04-15T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
hA1-dABkTLmRJEfU7EUzqg,Consent Agreement,FPL Permitting,,20180505,,,,,,,2022-06-30T00:00:00.000Z,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
MphUnKiDTiCkr80LxCuU3g,220623-34931/36-107397-P,SFWMD Water Management Permitting,,20180505,,2022-06-23T00:00:00.000Z,,2023-04-13T00:00:00.000Z,,,2023-06-07T00:00:00.000Z,,,,,2022-08-07T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
4SzpjIb-TU6OU9ytUpyRRQ,240827-45382/36-107397-P,SFWMD Water Management Permitting,,20180505,,2024-08-27T00:00:00.000Z,2024-09-25T00:00:00.000Z,2024-09-27T00:00:00.000Z,,,2024-11-22T00:00:00.000Z,,,,,2024-10-11T00:00:00.000Z,,,2024-10-16T00:00:00.000Z,2024-11-09T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
SU3bp3LgRpifFzaHftl1vQ,220826-1/36-09895-W,SFWMD Water Use Permitting,,20180505,,2022-08-25T00:00:00.000Z,,,,,2023-06-27T00:00:00.000Z,,,,,2022-10-09T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
14oU8C1DSQ6.Zgg7GNVhqg,DOS2019-00094-A01,Site Development Amendment,,20180505,,2024-11-06T00:00:00.000Z,,2025-04-02T00:00:00.000Z,,,2025-05-13T00:00:00.000Z,,,,,2024-12-21T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
UXfJ4txaQnmtUQrBIEWzaQ,DOS2019-00094,Site Development Permit,,20180505,,2019-07-29T00:00:00.000Z,2021-06-04T00:00:00.000Z,2021-06-30T00:00:00.000Z,,,2021-08-11T00:00:00.000Z,,,,,2019-09-12T00:00:00.000Z,,,2021-06-25T00:00:00.000Z,2021-07-19T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
AeUcj9qDR7yIPs1erHtiSA,ADD2024-00080,Administrative Deviation,,20181104,,2024-04-24T00:00:00.000Z,,,,,2024-06-04T00:00:00.000Z,,,,,2024-06-08T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
a.sx6WdQBSiuIWHgo4GpuGQ,ADD2021-00138,Bonus Density,,20181104,,2021-09-08T00:00:00.000Z,,2021-10-18T00:00:00.000Z,,,2021-11-04T00:00:00.000Z,,,,,2021-10-23T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Sxn1C0LuRHeSpwx-tcuIvg,19-004 LED,Utility Permitting,FGUA,20181104,,2020-03-02T00:00:00.000Z,,,,,,,,,Alert Removed,2020-04-16T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
3TxOFnl3SdePTWespoVG2w,,Notice of Intent (NOI),,20181104,,2023-05-08T00:00:00.000Z,,,,,2023-05-08T00:00:00.000Z,,,,,2023-06-22T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
S4pcvxLcQ.-sM5XDUuO4iQ,,SFWMD Dewatering Permitting,,20181104,,,,,,,,,,,,,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
IHBWXMsuR1yIOl9OKw1hRw,181128-1015/26-100905-P,SFWMD Water Management Permitting,,20181104,,2018-11-28T00:00:00.000Z,2018-12-06T00:00:00.000Z,2019-01-28T00:00:00.000Z,,,2019-02-05T00:00:00.000Z,,,,,2019-01-12T00:00:00.000Z,,,2018-12-27T00:00:00.000Z,2019-01-20T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
leV3pLmPRayX314zVPz7og,230213-37511/36-100905-P,SFWMD Water Management Permitting,,20181104,,2023-02-13T00:00:00.000Z,2023-07-14T00:00:00.000Z,2023-10-06T00:00:00.000Z,,,2023-11-15T00:00:00.000Z,2028-11-15T17:00:00.000Z,,,,2023-03-30T00:00:00.000Z,,,2023-08-04T00:00:00.000Z,2023-08-28T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
peiHX3ZwTu6otI4AoHZ-pg,DOS2005-00173-A01,Site Development Amendment,,20181104,,2020-07-06T00:00:00.000Z,2021-03-08T00:00:00.000Z,2021-04-19T00:00:00.000Z,,,2021-05-27T00:00:00.000Z,,,,,2020-08-20T00:00:00.000Z,,,2021-03-29T00:00:00.000Z,2021-04-22T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
rcci83XpQRSdyEa-1Eo9HQ,DOS2005-00173-A02 - withdrawn,Site Development Amendment,,20181104,,2022-09-21T00:00:00.000Z,,,,,,,,,Alert Removed,2022-11-05T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Bvbxc-8AQkuKhZXqUDFxUg,DOS2005-00173,Site Development Permit,,20181104,,2021-01-28T00:00:00.000Z,,,,,2006-04-27T00:00:00.000Z,2030-02-13T00:00:00.000Z,,,Alert Removed,2021-03-14T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2026-02-16T15:13:55.607Z,Al@qainc.net
9ysFgznXQ5CcgdM.UM4WFA,DOS2023-00016 - Expired,Site Development Permit,,20181104,,2023-02-07T00:00:00.000Z,2024-09-05T00:00:00.000Z,,,,,,,,,2023-03-24T00:00:00.000Z,Alert Removed,,2024-09-26T00:00:00.000Z,2024-10-20T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2026-02-16T15:18:15.605Z,Al@qainc.net
UfTFPE0ERCie9FZB2E2k4w,VEG2023-00141,Veg Permit,,20181104,,2023-05-09T00:00:00.000Z,,,,,2024-02-26T00:00:00.000Z,,,,,2023-06-23T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
2T2pLzH9SaqDjPhetEPJhw,Wetland Impact Permit,DEP Sewer,,20190101,,,2022-04-11T00:00:00.000Z,2022-05-25T00:00:00.000Z,,,2023-01-27T00:00:00.000Z,,,,,,,,2022-05-02T00:00:00.000Z,2022-05-26T00:00:00.000Z,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
roE0C18WQ5WWpiujqLGxnQ,50581-829-DWC,DEP Sewer,,20190101,,2022-12-13T00:00:00.000Z,,,,,2023-01-02T00:00:00.000Z,,,,,2023-01-27T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
tk.k4zIeTCKp7dsle8DzdQ,water,DEP Sewer Clearance,,20190101,,2024-09-30T00:00:00.000Z,,,,,2024-10-02T00:00:00.000Z,,,,,2024-11-14T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
ucWWl8B8QDupkE7AWOdIfw,0365281-168-DSGP,DEP Water,,20190101,,2023-01-30T00:00:00.000Z,,,,,2023-02-13T00:00:00.000Z,,,,,2023-03-16T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
Dp0GviEoT2GRNoexOQQ1rg,Waste,DEP Water Clearance,,20190101,,2024-09-30T00:00:00.000Z,,,,,,,,,Alert Removed,2024-11-14T00:00:00.000Z,,,,,,,,,2025-09-05T00:00:00.000Z,Al@qainc.net,2025-09-05T00:00:00.000Z,Al@qainc.net
